SecFrom20170901	location	place	none
844706	0	11	76
844705	1	6	85
844704	0	5	75
844703	2	7	75
844702	0	8	74
844701	2	2	89
844700	0	3	64
844699	0	7	91
844698	0	7	78
844697	0	7	93
844696	1	7	76
844695	0	7	67
844694	0	7	83
844693	0	5	76
844692	1	5	102
844691	0	7	60
844690	1	5	78
844689	0	6	94
844688	0	7	74
844687	1	5	85
844686	0	6	76
844685	0	6	79
844684	0	7	79
844683	3	7	88
844682	0	2	71
844681	1	7	78
844680	0	7	84
844679	0	5	79
844678	0	6	65
844677	0	7	85
844676	0	6	85
844675	1	6	86
844674	0	6	70
844673	0	7	86
844672	1	7	86
844671	0	5	72
844670	0	7	92
844669	0	8	86
844668	0	4	80
844667	0	0	101
844666	3	2	61
844665	0	6	75
844664	0	6	70
844663	2	7	101
844662	1	11	86
844661	0	3	74
844660	1	6	73
844659	2	4	87
844658	0	6	82
844657	0	3	77
844656	1	5	87
844655	1	8	76
844654	0	7	80
844653	0	5	77
844652	0	6	66
844651	2	4	85
844650	0	5	94
844649	1	2	70
844648	0	10	86
844647	1	5	79
844646	0	4	69
844645	1	3	72
844644	1	2	68
844643	1	9	83
844642	1	6	80
844641	1	4	89
844640	1	6	87
844639	0	8	83
845876	1	2	74
845875	0	7	67
845874	1	3	75
845873	0	2	69
845872	1	7	67
845871	1	6	82
845870	1	6	93
845869	0	6	85
845868	1	2	90
845867	0	6	77
845866	0	5	88
845865	0	8	73
845864	1	4	83
845863	0	6	67
845862	0	5	67
845861	0	6	108
845860	1	5	66
845859	0	4	83
845858	1	6	82
845857	1	4	69
845856	0	6	69
845855	0	8	95
845854	0	5	73
845853	0	4	71
845852	0	3	92
845851	1	3	58
845850	0	4	84
845849	0	8	84
845848	0	4	86
845847	1	3	97
845846	0	4	94
844638	0	5	67
844637	1	0	90
844636	2	7	79
844635	0	1	104
844634	0	6	70
844633	0	2	79
844632	0	3	72
844631	1	5	77
844630	0	4	61
844629	1	7	74
844628	0	6	80
844627	0	8	73
844626	0	2	69
844625	0	5	72
844624	1	5	86
844623	0	4	66
844622	2	2	89
844621	1	3	81
844620	0	4	67
844619	1	6	79
844618	1	7	75
844617	0	3	72
844616	0	2	83
844615	0	2	78
844614	0	6	59
844613	2	4	77
844612	1	6	71
844611	1	2	64
844610	1	5	94
844609	0	6	67
844608	1	9	75
844607	2	3	75
844606	0	8	63
844605	0	9	73
844604	0	3	68
844603	0	5	68
844602	1	4	80
844601	1	3	77
844600	0	2	73
844599	1	10	82
844598	1	6	72
844597	1	1	69
844596	1	5	78
844595	1	9	73
844594	3	4	88
844593	0	0	68
844592	0	7	84
844591	0	1	62
844590	0	5	79
844589	0	4	77
844588	1	5	77
844587	0	5	70
844586	0	4	99
844585	1	6	80
844584	0	3	77
844583	1	2	75
844582	2	4	76
844581	0	5	81
844580	2	7	74
844579	1	6	81
